accession,name,ftp_path
GCF_038396675.1,GCF_038396675.1 swiftwater hydra (Hydra vulgaris),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/396/675/GCF_038396675.1_HydraT2T_AEP
GCA_037997075.1,GCA_037997075.1 common wild rice (Oryza rufipogon),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/997/075/GCA_037997075.1_ASM3799707v1
GCF_000002725.2,GCF_000002725.2 Leishmania major strain Friedlin,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/725/GCF_000002725.2_ASM272v2
GCA_034406715.1,GCA_034406715.1 Rhodotorula mucilaginosa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/406/715/GCA_034406715.1_ASM3440671v1
GCF_020647865.1,GCF_020647865.1 Trichoderma asperellum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/647/865/GCF_020647865.1_ASM2064786v1
GCF_020647795.1,GCF_020647795.1 Trichoderma atroviride,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/647/795/GCF_020647795.1_ASM2064779v1
GCF_900002385.2,GCF_900002385.2 Plasmodium yoelii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/002/385/GCF_900002385.2_GCA_900002385
GCA_038442765.1,GCA_038442765.1 broom millet (Panicum miliaceum),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/442/765/GCA_038442765.1_ASM3844276v1
GCA_025917655.1,GCA_025917655.1 Chlorella sorokiniana,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/917/655/GCA_025917655.1_ASM2591765v1
GCF_009556855.1,GCF_009556855.1 Talaromyces marneffei,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/556/855/GCF_009556855.1_ASM955685v1
GCF_000002515.2,GCF_000002515.2 Kluyveromyces lactis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/515/GCF_000002515.2_ASM251v1
GCF_000091205.1,GCF_000091205.1 Cyanidioschyzon merolae strain 10D,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/205/GCF_000091205.1_ASM9120v1
GCA_044706195.1,GCA_044706195.1 Aspergillus cristatus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/706/195/GCA_044706195.1_ASM4470619v1
GCA_947243795.1,GCA_947243795.1 Saccharomyces uvarum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/947/243/795/GCA_947243795.1_Suva-ZP964
GCF_000687475.1,GCF_000687475.1 rice false smut (Ustilaginoidea virens),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/475/GCF_000687475.1_ASM68747v2
GCA_026958235.1,GCA_026958235.1 Clonostachys rosea,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/958/235/GCA_026958235.1_ASM2695823v1
GCF_000226095.1,GCF_000226095.1 Thermothelomyces thermophilus ATCC 42464,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/095/GCF_000226095.1_ASM22609v1
GCA_043873815.1,GCA_043873815.1 white sandalwood (Santalum album),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/873/815/GCA_043873815.1_ASM4387381v1
GCA_030272155.1,GCA_030272155.1 Tetradesmus obliquus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/272/155/GCA_030272155.1_ASM3027215v1
GCF_026914185.1,GCF_026914185.1 wheat leaf rust (Puccinia triticina),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/914/185/GCF_026914185.1_ASM2691418v1
GCF_016767815.1,GCF_016767815.1 Penicillium digitatum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/767/815/GCF_016767815.1_ASM1676781v1
GCA_018223645.1,GCA_018223645.1 Arabian jasmine (Jasminum sambac),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/223/645/GCA_018223645.1_ASM1822364v1
GCA_001571465.2,GCA_001571465.2 Talaromyces pinophilus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/465/GCA_001571465.2_ASM157146v2
GCA_026367775.1,GCA_026367775.1 Exserohilum rostratum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/367/775/GCA_026367775.1_ASM2636777v1
GCF_016861625.1,GCF_016861625.1 Aspergillus luchuensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/861/625/GCF_016861625.1_AkawachiiIFO4308_assembly01
GCF_018416015.2,GCF_018416015.2 Coccidioides posadasii str. Silveira,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/416/015/GCF_018416015.2_ASM1841601v2
GCA_036867785.1,GCA_036867785.1 Plasmodiophora brassicae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/867/785/GCA_036867785.1_ULAVAL_Pb3A
GCF_011074885.1,GCF_011074885.1 Brettanomyces bruxellensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/885/GCF_011074885.1_ASM1107488v2
GCA_041753875.1,GCA_041753875.1 black porgy (Acanthopagrus schlegelii),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/753/875/GCA_041753875.1_ASM4175387v1
GCA_001936155.1,GCA_001936155.1 Saccharomycopsis fibuligera,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/155/GCA_001936155.1_KPH12
GCA_001010845.1,GCA_001010845.1 Sporisorium scitamineum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/845/GCA_001010845.1_ASM101084v1
GCA_019431265.1,GCA_019431265.1 Saccharomyces bayanus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/431/265/GCA_019431265.1_ASM1943126v1
GCA_003999685.1,GCA_003999685.1 Taiwanofungus camphoratus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/999/685/GCA_003999685.1_ASM399968v1
GCA_005317125.1,GCA_005317125.1 Leishmania amazonensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/317/125/GCA_005317125.1_ASM531712v1
GCF_003290485.1,GCF_003290485.1 Malassezia restricta,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/290/485/GCF_003290485.1_ASM329048v1
GCA_025948275.1,GCA_025948275.1 Fusarium avenaceum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/948/275/GCA_025948275.1_ASM2594827v1
GCF_033473495.1,GCF_033473495.1 Cercospora beticola,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/473/495/GCF_033473495.1_ASM3347349v1
GCA_025854295.1,GCA_025854295.1 fried chicken mushroom (Lyophyllum decastes),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/854/295/GCA_025854295.1_ASM2585429v1
GCA_037935595.1,GCA_037935595.1 [Candida] boidinii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/935/595/GCA_037935595.1_ASM3793559v1
GCF_033870435.1,GCF_033870435.1 Sordaria macrospora,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/870/435/GCF_033870435.1_ASM3387043v1
GCA_014334815.1,GCA_014334815.1 Pyrenophora teres f. maculata,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/334/815/GCA_014334815.1_ASM1433481v1
GCF_000836335.1,GCF_000836335.1 Cryptococcus bacillisporus CA1280,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/335/GCF_000836335.1_ASM83633v2
GCA_040126005.1,GCA_040126005.1 Annulohypoxylon stygium,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/126/005/GCA_040126005.1_TJAS01
GCF_016861735.1,GCF_016861735.1 Aspergillus chevalieri,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/861/735/GCF_016861735.1_AchevalieriM1_assembly01
GCA_002952155.1,GCA_002952155.1 Alternaria solani,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/155/GCA_002952155.1_ASM295215v1
GCA_020912385.1,GCA_020912385.1 Neofusicoccum parvum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/912/385/GCA_020912385.1_ASM2091238v1
GCA_022641835.1,GCA_022641835.1 Cyberlindnera fabianii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/641/835/GCA_022641835.1_ASM2264183v1
GCA_037349495.1,GCA_037349495.1 Lotmaria passim,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/349/495/GCA_037349495.1_ASM3734949v1
GCA_038181435.1,GCA_038181435.1 Fusarium acuminatum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/181/435/GCA_038181435.1_ASM3818143v1
GCA_024499215.1,GCA_024499215.1 Cercospora sojina,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/499/215/GCA_024499215.1_ASM2449921v1
GCA_008728235.1,GCA_008728235.1 Lichtheimia ramosa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/728/235/GCA_008728235.1_ASM872823v1
GCA_003814445.1,GCA_003814445.1 Epichloe festucae Fl1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/814/445/GCA_003814445.1_ASM381444v1
GCA_043388385.1,GCA_043388385.1 tomato hind (Cephalopholis sonnerati),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/388/385/GCA_043388385.1_ASM4338838v1
GCA_039645085.1,GCA_039645085.1 alhandal (Citrullus colocynthis),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/645/085/GCA_039645085.1_ASM3964508v1
GCA_045014175.1,GCA_045014175.1 common lac scale (Kerria lacca),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/014/175/GCA_045014175.1_ASM4501417v1
GCA_029959215.1,GCA_029959215.1 Tricholoma bakamatsutake,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/959/215/GCA_029959215.1_ASM2995921v1
GCA_041870755.1,GCA_041870755.1 Fusarium sambucinum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/870/755/GCA_041870755.1_OSU_Fsam_1.1
GCA_025258505.1,GCA_025258505.1 Fusarium asiaticum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/258/505/GCA_025258505.1_ASM2525850v1
GCA_039634465.1,GCA_039634465.1 Didymella pinodella,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/634/465/GCA_039634465.1_ASM3963446v1
GCF_004011695.2,GCF_004011695.2 Ascochyta rabiei,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/011/695/GCF_004011695.2_ASM401169v2
GCA_903995115.1,GCA_903995115.1 Angomonas deanei,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/995/115/GCA_903995115.1_Adeanei_nanopore_chromosomes
GCA_008274985.1,GCA_008274985.1 Aspergillus sojae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/274/985/GCA_008274985.1_ASM827498v1
GCF_013426205.1,GCF_013426205.1 Metarhizium brunneum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/426/205/GCF_013426205.1_ASM1342620v1
GCF_000091025.4,GCF_000091025.4 Eremothecium gossypii ATCC 10895,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/025/GCF_000091025.4_ASM9102v4
GCF_000740895.1,GCF_000740895.1 Theileria orientalis strain Shintoku,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/740/895/GCF_000740895.1_ASM74089v1
GCA_034359265.1,GCA_034359265.1 canna (Canna indica),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/359/265/GCA_034359265.1_ASM3435926v1
GCA_039644775.1,GCA_039644775.1 citron-melon (Citrullus amarus),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/644/775/GCA_039644775.1_ASM3964477v1
GCA_046470805.1,GCA_046470805.1 Seville orange (Citrus x aurantium),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/470/805/GCA_046470805.1_ASM4647080v1
GCA_038095585.1,GCA_038095585.1 Grapholita dimorpha,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/095/585/GCA_038095585.1_ASM3809558v1
GCA_041412015.1,GCA_041412015.1 Pestalotiopsis microspora,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/412/015/GCA_041412015.1_ASM4141201v1
GCA_020809705.1,GCA_020809705.1 Calonectria ilicicola,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/809/705/GCA_020809705.1_ASM2080970v1
GCF_034447905.1,GCF_034447905.1 Colletotrichum destructivum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/447/905/GCF_034447905.1_ASM3444790v1
GCA_040741935.1,GCA_040741935.1 Chinese water-chestnut (Eleocharis dulcis),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/741/935/GCA_040741935.1_ASM4074193v1
GCA_026184415.1,GCA_026184415.1 Trichothecium roseum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/184/415/GCA_026184415.1_ASM2618441v1
GCF_026873545.1,GCF_026873545.1 Fusarium falciforme,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/873/545/GCF_026873545.1_ASM2687354v1
GCA_036768465.1,GCA_036768465.1 Alternaria brassicae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/768/465/GCA_036768465.1_ASM3676846v1
GCA_032768795.1,GCA_032768795.1 snow fungus (Tremella fuciformis),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/768/795/GCA_032768795.1_ASM3276879v1
GCA_035575875.1,GCA_035575875.1 Babesia gibsoni,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/575/875/GCA_035575875.1_ASM3557587v1
GCA_024970365.1,GCA_024970365.1 Leishmania guyanensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/970/365/GCA_024970365.1_ASM2497036v1
GCA_023205875.1,GCA_023205875.1 Chloropicon primus,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/205/875/GCA_023205875.1_ASM2320587v1
GCA_964275055.1,GCA_964275055.1 Monosporozyma servazzii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/275/055/GCA_964275055.1_MOSE0
GCA_016952355.1,GCA_016952355.1 Fusarium culmorum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/952/355/GCA_016952355.1_ASM1695235v1
GCF_020509005.1,GCF_020509005.1 Fulvia fulva,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/509/005/GCF_020509005.1_Cfulv_R5_v5
GCA_024072835.1,GCA_024072835.1 Epichloe amarillans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/072/835/GCA_024072835.1_ASM2407283v1
GCF_000092065.1,GCF_000092065.1 Ostreococcus lucimarinus CCE9901,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/065/GCF_000092065.1_ASM9206v1
GCA_039644925.1,GCA_039644925.1 Citrullus rehmii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/644/925/GCA_039644925.1_ASM3964492v1
GCA_041154625.1,GCA_041154625.1 oshima-zakura (Prunus speciosa),https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/154/625/GCA_041154625.1_CerSpe_IZO01_v1.0
GCA_041294745.1,GCA_041294745.1 Vitis vinifera x Vitis labrusca,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/294/745/GCA_041294745.1_SMT2T_hap1
GCA_040801865.1,GCA_040801865.1 Salix dunnii,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/801/865/GCA_040801865.1_FNU-M-1-Hap-a
GCF_032362555.1,GCF_032362555.1 Amyelois transitella,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/362/555/GCF_032362555.1_ilAmyTran1.1
GCF_023278565.1,GCF_023278565.1 Colletotrichum lupini,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/278/565/GCF_023278565.1_ASM2327856v1
GCA_013177335.1,GCA_013177335.1 Apiotrichum mycotoxinovorans,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/177/335/GCA_013177335.1_ASM1317733v1
GCA_023658445.1,GCA_023658445.1 Epichloe bromicola,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/658/445/GCA_023658445.1_ASM2365844v1
GCA_023101225.1,GCA_023101225.1 Fusarium solani-melongenae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/101/225/GCA_023101225.1_ASM2310122v1
GCF_016861865.1,GCF_016861865.1 Aspergillus puulaauensis,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/861/865/GCF_016861865.1_ApuulaauensisMK2_assembly01
GCA_046529785.1,GCA_046529785.1 Rhynchosporium commune,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/046/529/785/GCA_046529785.1_ASM4652978v1
GCF_042100115.1,GCF_042100115.1 Alternaria dauci,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/100/115/GCF_042100115.1_ASM4210011v1
GCA_030168465.1,GCA_030168465.1 Pichia terricola,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/168/465/GCA_030168465.1_ASM3016846v1
GCA_004014935.1,GCA_004014935.1 Saccharomycopsis malanga,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/014/935/GCA_004014935.1_ASM401493v1
GCF_022605165.1,GCF_022605165.1 Purpureocillium takamizusanense,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/605/165/GCF_022605165.1_ASM2260516v1
GCA_032594075.1,GCA_032594075.1 Botrytis fabae,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/594/075/GCA_032594075.1_ASM3259407v1
GCA_004217705.1,GCA_004217705.1 Metschnikowia aff. pulcherrima,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/217/705/GCA_004217705.1_ASM421770v1
GCA_007735645.1,GCA_007735645.1 Venturia effusa,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/735/645/GCA_007735645.1_ASM773564v1
